id,name,r,g,b
1,backpack,0,18,104
2,base-cabinet,0,36,80
3,basket,0,55,56
4,bathtub,0,73,33
5,beam,0,92,9
6,beanbag,0,80,41
7,bed,0,63,83
8,bench,0,46,125
9,bike,0,29,167
10,bin,0,11,209
11,blanket,0,10,251
12,blinds,0,46,255
13,book,0,82,255
14,bottle,0,117,255
15,box,0,153,255
16,bowl,0,186,255
17,camera,0,201,255
18,cabinet,0,212,255
19,candle,0,223,255
20,chair,0,235,255
21,chopping-board,0,246,248
22,clock,0,254,231
23,cloth,0,253,215
24,clothing,0,252,198
25,coaster,0,251,182
26,comforter,0,250,165
27,computer-keyboard,0,250,144
28,cup,0,250,118
29,cushion,0,251,91
30,curtain,0,252,65
31,ceiling,0,253,39
32,cooktop,11,254,12
33,countertop,27,246,0
34,desk,43,236,0
35,desk-organizer,59,227,0
36,desktop-computer,75,217,0
37,door,91,208,0
38,exercise-ball,103,212,0
39,faucet,108,220,0
40,floor,113,228,0
41,handbag,118,237,0
42,hair-dryer,123,245,0
43,handrail,130,253,10
44,indoor-plant,141,255,20
45,knife-block,153,255,30
46,kitchen-utensil,164,255,40
47,lamp,176,255,50
48,laptop,187,255,58
49,major-appliance,199,255,48
50,mat,210,255,38
51,microwave,222,255,28
52,monitor,233,255,18
53,mouse,245,253,8
54,nightstand,255,246,0
55,pan,255,240,0
56,panel,255,234,0
57,paper-towel,255,228,0
58,phone,255,221,0
59,picture,255,215,1
60,pillar,255,209,3
61,pillow,255,203,6
62,pipe,255,196,9
63,plant-stand,255,190,11
64,plate,255,181,13
65,pot,255,160,11
66,rack,255,139,8
67,refrigerator,255,119,6
68,remote-control,255,98,4
69,scarf,255,77,1
70,sculpture,255,63,0
71,shelf,255,51,0
72,shoe,255,39,0
73,shower-stall,255,27,0
74,sink,255,15,0
75,small-appliance,255,3,23
76,sofa,255,0,68
77,stair,255,0,113
78,stool,255,0,158
79,switch,255,0,202
80,table,255,0,247
81,table-runner,237,8,255
82,tablet,220,17,255
83,tissue-paper,203,25,255
84,toilet,185,34,255
85,toothbrush,168,43,255
86,towel,165,57,252
87,tv-screen,180,72,249
88,tv-stand,195,87,246
89,umbrella,210,102,243
90,utensil-holder,225,117,240
91,vase,236,131,238
92,vent,237,142,240
93,wall,239,154,241
94,wall-cabinet,241,166,243
95,wall-plug,243,177,244
96,wardrobe,245,189,246
97,window,246,201,247
98,rug,248,212,249
99,logo,250,224,250
100,bag,252,236,252
101,set-of-clothing,254,247,254
